,,Degree,,,,,,Master,,,,,,,Doctor Degree,,,,,,Atuação Profissional,,,,Acacia (cons. em 18/7/24),,,,,,,,,
Song,Siang Wun,Eng. Elétrica,USP,1966,1970,,,Matemática Aplicada,USP,Valdemar Waingort Setzer,1971,1975,,,Ciência da Computação,US,Carnegie Mellon University,H. T. Kung,1976,1981,USP,1971,-,,67,3,,1,relat. sobre infiltração judaico-esquerdista e elementos de origem asiática,"BR DFANBSB V8.MIC, GNC.EEE.79000393 - Dossiê",,,,
Lucchesi,Cláudio Leonardo,Eng. Eletrônica,USP,1964,1968,,,Comp. Sc.,Univ. of Waterloo,Tomasz Pietrzykowski,1970,1971,,,Comp. Sc.,CA,Univ. of Waterloo,Daniel Haven Younger,1971,1976,UNICAMP,1971,-,,178,6,,2,citado em depoimento de ex-alunos da univ. Patrice Lumumba,,,,,
Terada,Routo,Eng. Eletrônica,USP,1966,1970,,,Matemática Aplicada,USP,Valdemar Waingort Setzer,1971,1975,,,Comp. Sc.,US,University of Wisconsin,Lawrence Landweber,1975,1979,USP,1971,-,,149,5,,1,relat. sobre infiltração judaico-esquerdista e elementos de origem asiática,"BR DFANBSB V8.MIC, GNC.EEE.79000393 - Dossiê",,,,
Bressan,Graça,Licenciatura em Matemática,USP,1968,1971,,,Matemática Aplicada,USP,Valdemar Waingort Setzer,1972,1977,,,Eng. Elétrica,BR,USP,Wilson Vicente Ruggiero,1979,1986,USP,1974,,,75,3,,2,manifesto de profs. da USP (morte Wladimir Herzog) e citada no doc. sobre infiltração (ver Setzer),,,,,
Ripper,Mario Dias,Eng. Eletrônica,ITA,,1964,,,,École Superieure de L'Aeronautique,,,1966,,,,US,Universidade da Califórnia,,,1973,SERPRO,,,,,,1° editor Dados e Ideias,1,,,,,,
Ferrareto,Mario Dias,Bacharelado em Física,USP,,1972,,,Eng. Elétrica,USP,José Rubens Dória Porto,,1976,,,Eng. Elétrica,BR,USP,José Rubens Dória Porto,,1980,USP,,,,3,1,,0,,,,,,
Fang,Isu,Eng. Aeronáutica,ITA,1959,1963,,,Comp. Sc.,Stanford,,1968,1970,,,Comp. Sc.,US,Stanford,Donald Knuth,1968,1972,USP,1964,,,0,0,,1,adm.,,,,,
Simon,Imre,Eng. Eletrônica,USP,1962,1966,,,Comp. Sc.,Univ. of Waterloo,John A Brzozowski,1969,1970,,,Comp. Sc.,CA,Univ. of Waterloo,John A Brzozowski,1970,1972,USP,1967,2009,,497,4,grad. na Poli,2,manifesto de profs. da USP (morte Wladimir Herzog) e citada no doc. sobre infiltração (ver Setzer),,,,,
Wakabayashi,Yoshiko,Licenciatura em Matemática,USP,1969,1972,,,Matemática Aplicada,USP,Imre Simon,1973,1977,,,Matemática Aplicada,DE,Universität Augsburg,Martin Groetschel,1982,1986,USP,1975,-,,220,6,,1,manifesto de profs. da USP (morte Wladimir Herzog),,,,,
Mandel,Arnaldo,Matemática,USP,1972,1974,,,Matemática Aplicada,USP,Imre Simon,1975,1976,,,Mathematics,CA,Univ. of Waterloo,Jack Edmonds,1976,1982,USP,1975,-,,216,4,,0,,,,,,
Melnikoff,Selma Shin Shimizu,Eng. Elétrica,USP,1967,1971,,,Eng. Elétrica,USP,Antonio Marcos de Aguirra Massola,1972,1977,,,Eng. Elétrica,BR,USP,Carlos José Pereira de Lucena,1977,1982,USP,1981,,,169,6,,0,,,,,,
Ferreira,Maria Alice Grigas Varella,Eng. de Eletricidade,USP,1964,1968,,,Eng. Elétrica,USP,Tamio Shimizu,1969,1975,,,Eng. Elétrica,BR,USP,Tamio Shimizu,1975,1979,USP,1979,,,142,4,,0,,,,,,
Simon,István,,,,1969,,,Matemática Aplicada,USP,Valdemar Waingort Setzer,,1972,,,,US,Univ. of Stanford,,,1977,USP,,,,0,0,,1,relat. sobre infiltração judaico-esquerdista e elementos de origem asiática,,,,,
Feofiloff,Paulo,Eng. Eletrônica,USP,1965,1969,,,Matemática Aplicada,USP,Imre Simon,1972,1974,,,Combinatorics and Optimization,CA,Univ. of Waterloo,Daniel H. Younger,1974,1983,USP,1971,,,64,3,,1,relat. sobre infiltração judaico-esquerdista e elementos de origem asiática,,,,,
Porto,José Rubens Dória,Eng. Eletrônica,ITA,,1963,,,,,,,,,,Física,BR,USP,Luiz de Queiroz Orsini,,1969,Unicamp? USP?,,,,1,0,dout. na FFCL da USP,0,,,,,,
Shimizu,Tamio,Matemática,USP,1958,1962,,,Engenharia Eletrônica e Computação,ITA,Gustave Rabson,1963,1966,,,Engenharia de Produção,BR,USP,Gustave Rabson,1967,1970,USP,1972,,,692,7,,0,,,,,,
Vieira,Antônio Hélio Guerra,Eng. Mecânica,,,1953,,,,,,,,,,,FR,Escola Normal Superior,,,,,,,,4092,9,,4,"inst. de energia atômica de SP, projeto siscom (central telef.), infiltração (ver Setzer)","BR DFANBSB V8.MIC, GNC.AAA.79000284 - Dossiê",,,,
Massola,Antonio Marcos de Aguirra,Eng. Elétrica,USP,1963,1967,,,Eng. Elétrica,USP,Antônio Hélio Guerra Vieira,1968,1970,,,Eng. Elétrica,BR,USP,Antônio Hélio Guerra Vieira,1972,1974,USP,1969,,,1524,16,,0,,,,,,
Campos,Geraldo Lino de,,USP,1964,1969,,,Eng. Elétrica,USP,Antônio Hélio Guerra Vieira,1969,1972,,,Eng. Elétrica,BR,USP,Antonio Marcos de Aguirra Massola,1976,1980,USP,1972,1975,,57,2,,0,,,,,,
Ruggiero,Wilson Vicente,Eng. Elétrica,USP,1968,1972,,,Eng. Elétrica,USP,Antônio Hélio Guerra Vieira,,,,,Comp. Sc.,US,UCLA,Gerald Estrin,1975,1978,USP,1980,,,459,9,,0,,,,,,
Martucci Junior,Moacyr,Eng. Eletrônica,USP,,1973,,,Eng. Elétrica,USP,Antonio Marcos de Aguirra Massola,,1979,,,Eng. Elétrica,BR,USP,Lucas Antonio Moscato,,1982,USP,,,FDTE,220,5,CV parcialmente do bio no semish 77,0,,,,,,
Neto,João José,Eng. de Eletricidade,USP,1967,1971,,,Eng. Elétrica,USP,Antonio Marcos de Aguirra Massola,1972,1975,,,Eng. Elétrica,BR,USP,Antonio Marcos de Aguirra Massola,1975,1980,USP,1975,,,460,8,,0,,,,,,
Martini,José Sidnei Colombo,,,,,,,Eng. Elétrica,USP,Antonio Marcos de Aguirra Massola,,1975,,,Eng. Elétrica,BR,USP,Antonio Marcos de Aguirra Massola,,1982,,,,,76,3,,0,,,,,,
Souza,Antonio Sérgio de,,,,,,,,,,,,,,Eng. Elétrica,BR,USP,Antonio Marcos de Aguirra Massola,,1989,,,,,17,0,,2,prov. homônimo?,,,,,
Saito,José Hiroki,,USP,1968,1972,,,Engenharia Eletrônica e Computação,ITA,João Antonio Zuffo,1976,1979,,,Eng. Elétrica,BR,USP,Antonio Marcos de Aguirra Massola,1980,1983,UFSCar,1974,2010,,66,2,,0,,,,,,
Souza,Benício José de,,USP,1971,,,,,,,,,,,,BR,USP,Antonio Marcos de Aguirra Massola,,1984,USP,1976,,,58,3,,0,,,,,,
Paciornik,Silvio Davi,Eng. Eletrônica,ITA,,1966,,,Engenharia Eletrônica e Computação,USP,Trentino Polga,,1970,,,Eng. Elétrica,BR,USP,José Rubens Dória Porto,,1976,USP,,,,110,1,reg. tese: https://repositorio.usp.br/item/000712631 , no bio do semish 78 o final do mestr. consta como 1971,0,,,,,
Mammana,Claudio Zamitti,Eng. Mecânica,ITA,,1966,,,Engenharia Eletrônica e Computação,USP,Walter Del Picchia,,1972,,,Engenharia Eletrônica e Computação,BR,USP,Walter Del Picchia,,1975,USP,,,,,,parte do CV retirada da pag. de bio do semish 77,0,,,,,,
Mammana,Carlos Ignacio Zamitti,Eng. Eletrônica,ITA,1960,1964,,,,,,,,,,Engenharia Eletrônica e Computação,BR,USP,Richard Louis Anderson,1967,1969,Unicamp,1974,1994,outros,1861,10,,1,dossie,"citado em BR DFANBSB V8.MIC, GNC.EEE.80005517 - roberto cerrini villas boas. - Dossiê",,,,
Baranauskas,Vitor,Física,USP,1972,1976,,,Eng. Elétrica,Unicamp,Carlos Ignacio Zamitti Mammana,1976,1979,,,Eng. Elétrica,BR,Unicamp,Carlos Ignacio Zamitti Mammana,1979,1982,Unicamp,1976,,,304,7,,0,,,,,,
Avilez Filho,Oseas Valente de,Eng. Eletrecista,UnB,1970,1974,,,Eng. Elétrica,Unicamp,Carlos Ignacio Zamitti Mammana,1974,1978,,,Eng. Elétrica,BR,Unicamp,Alberto Martins Jorge,1982,1986,Unicamp,1974,,,183,2,,0,,,,,,
Jorge,Alberto Martins,Eng. Elétrica,USP,1963,1968,,,Eng. Elétrica,USP,João Antonio Zuffo,1970,1974,,,Eng. Elétrica,BR,USP,Carlos Ignacio Zamitti Mammana,1974,1982,Unicamp,1974,2009,,467,4,,0,,,,,,
Souza,Joel Pereira de,Física,USP,1966,1969,,,Eng. Elétrica,USP,Carlos Ignacio Zamitti Mammana,1971,1974,,,Eng. Elétrica,BR,USP,Edgar Charry Rodriguez,1974,1978,UFRGS,1981,2002,,209,3,,2,,,,,,
Reis Filho,Carlos Alberto dos,Eng. Elétrica,USP,1970,1974,,,Eng. Elétrica,Unicamp,Carlos Ignacio Zamitti Mammana,1976,1978,,,Eng. Elétrica,BR,Unicamp,Carlos Ignacio Zamitti Mammana,1978,1982,Unicamp,1975,2011,UFABC,161,5,,0,,,,,,
Moraes,Wilmar Bueno de,Eng. Eletrônica,UnB,1962,1966,,,Eng. Elétrica,Unicamp,Carlos Ignacio Zamitti Mammana,1972,1975,,,Eng. Elétrica,BR,Unicamp,Carlos Ignacio Zamitti Mammana,1978,1982,Unicamp,1974,,,157,3,,0,,,,,,
Guimarães,Célio Cardoso,Eng. Eletrônica,ITA,1961,1965,,,Operations Research,Case Western Reserve Univ.,Leon Lasdon,1968,1970,,,Comp. Sc. ,US,Case Western Reserve Univ.,William C Lynch,1970,1973,Unicamp,1976,1982,indústria,,,,0,,,,,,
Moura,Arnaldo Vieira,Eng. Eletrônica,ITA,1969,1973,,,Matemática Aplicada,ITA,Nelson Delfino d'Ávila Mascarenhas,1974,1976,,,Comp. Sc. ,US,Univ. of California Berkeley,Michael Alexander Harrison,1976,1980,Unicamp,1995,2021,inústria,24,2,,0,,,,,,
Mascarenhas,Nelson Delfino d'Ávila,Eng. Eletrônica,ITA,1962,1966,,,Engenharia Eletrônica e Computação,ITA,Nelson Ortegosa da Cunha,1967,1969,,,Eng. Elétrica,US,Univ. of Southern California,William Kenneth Pratt,1969,1974,INPE,1979,1994,UFSCar,890,10,,0,,,,,,
Anzaloni,Alessandro,Eng. Elétrica,Escola de Eng. Mauá,1970,1974,,,Engenharia Eletrônica e Computação,ITA,Nelson Delfino d'Ávila Mascarenhas,1974,1978,,,Engenharia Eletrônica e Computação,BR,ITA,Jair Candido de Melo,1979,1982,ITA,1975,,,64,2,,0,,,,,,
Andrade,Adnei Melges de,Física,USP,1965,1968,,,Eng. Elétrica,USP,Carlos Ignacio Zamitti Mammana,1970,1972,,,Eng. Elétrica,BR,USP,Carlos Américo Morato de Andrade,1985,1989,USP,1969,,,68,2,,0,,,,,,
Andrade,Carlos Américo Morato de,Eng. Elétrica,USP,1954,1958,,,Eng. Elétrica,Syracuse University,R.P. Nanavati,1961,1962,,,Eng. Elétrica,BR,USP,Paulo Ribeiro de Arruda,1963,1964,USP,1959,,,805,8,,0,,,,,,
Strum,Marius,Matemática,USP,1968,1971,Eng. Elétrica,USP,Eng. Elétrica,USP,Edgar Charry Rodriguez,1974,1977,,,Eng. Elétrica,BR,USP,Carlos Américo Morato de Andrade,1979,1983,USP,1974,,,127,4,,0,,,,,,
Fernandez,Francisco Javier Ramirez,Ingenieria Electrica,Universidad Técnica Del Estado,1964,1970,,,Microeletronica,USP,Carlos Américo Morato de Andrade,1973,1978,,,Eng. Elétrica,BR,USP,Carlos Américo Morato de Andrade,1980,1986,USP,1973,,,77,2,,0,,,,,,
Carlson,Renato,Eng. Elétrica,UFRGS,1965,1969,,,Eng. Elétrica,UFSC,Sergio Roberto Arruda,1971,1973,,,Eng. Elétrica,FR,Université Toulouse III Paul Sabatier,Michel Lajoie-Mazenc,1975,1977,UFSC,1978,,,600,4,,0,,,,,,
Fraga,Joni da Silva,Eng. Elétrica,UFRGS,1970,1974,,,Eng. Elétrica,UFSC,Renato Carlson,1975,1979,,,Informatique Automatique,FR,Institute National Polytechnique de Toulouse,Jean Claude Laprie,1981,1985,UFSC,1977,,,388,9,,0,,,,,,
Foina,Paulo Rogerio,Física,UFSCar,1973,1976,,,Computação,USP,João Antonio Zuffo,1976,1979,,,Informática,BR,PUC-Rio,Roberto Lins de Carvalho,1981,1985,"vários, indústria",,,,371,1,,0,,,,,,
Pequeno,Tarcisio Haroldo Cavalcante,Eng. Civil,UFC,1966,1970,,,Informática,PUC-Rio,Roberto Lins de Carvalho,1975,1977,,,Informática,BR,PUC-Rio,Carlos José Pereira de Lucena,1977,1981,UFC,1981,,,233,6,,0,,,,,,
Campos,Ivan Moura,Eng. Mecânica,UFMG,1963,1967,,,Informática,PUC-Rio,Carlos José Pereira de Lucena,1970,1971,,,Comp. Sc.,US,UCLA,Gerald Estrin,1973,1977,UFMG,1968,1994,,375,4,,1,informe,sobre sua esposa (Marilia),,,,
Bigonha,Roberto da Silva,Eng. Química,UFMG,1967,1971,,,Informática,PUC-Rio,Luiz Ferrara de Almeida Cunha,1972,1975,,,Comp. Sc.,US,UCLA,David F. Martin,1977,1981,UFMG,1974,-,,200,7,,0,,,,,,
Ziviani,Nivio,Eng. Mecânica,UFMG,1966,1971,,,Informática,PUC-Rio,Antonio Luz Furtado,1975,1976,,,Comp. Sc.,CA,Univ. of Waterloo,Gaston Gonnet,1978,1982,UFMG,1972,-,,324,6,,0,,,,,,
Luna,Henrique Pacca Loureiro,Eng. Mecânica,ITA,1965,1969,,,Informática,PUC-Rio,Klaus Galda,1971,1972,,,Automática Otimização,FR,Université Toulouse III Paul Sabatier,André Titli,1975,1978,UFMG,1972,2003,UFAL,444,8,,0,,,,,,
Laender,Alberto Henrique Frade,Eng. Mecânica,UFMG,1970,1974,,,Ciência da Computação,UFMG,Ivan Moura Campos,1975,1979,,,Ciência da Computação,UK,University of East Anglia,Peter M. Stocker,1980,1984,UFMG,1974,-,,215,6,,0,,,,,,
Paula Filho,Wilson de Pádua,Eng. Mecânica,ITA,1964,1968,,,Eng. Elétrica,USP,Antônio Hélio Guerra Vieira,1969,1971,,,Eng. Elétrica,BR,USP,Antônio Hélio Guerra Vieira,1972,1975,UFMG,1972,2002,,983,10,,1,copia de artigo sobre análise crítica da pós grad. na 29° reunião da SBPC,,,,,
Nogueira,José Marcos Silva,Eng. Elétrica,UFMG,1971,1975,,,Ciências da Computação,UFMG,Wilson de Pádua Paula Filho,1976,1979,,,Engenharia Elétrica,BR,Unicamp,Manuel de Jesus Mendes,1980,1985,UFMG,1980,,,118,4,,0,,,,,,
Pádua,Clarindo Isaias,Eng. Elétrica,UFMG,1971,1975,,,Ciências da Computação,UFMG,Wilson de Pádua Paula Filho,1976,1979,,,Ciência da Computação,UK,University of Southampton,David Allerton,1983,1988,UFMG,1976,,,79,2,,0,,,,,,
Lages,Newton Alberto de Castilho,Eng. Elétrica,UFMG,,1973,,,Ciências da Computação,UFMG,Wilson de Pádua Paula Filho,,1976,,,,,,,,,,,,,24,1,,0,,,,,,
Mata,José Monteiro da,Eng. Elétrica,UFMG,1970,1974,,,Ciências da Computação,UFMG,Wilson de Pádua Paula Filho,1975,1978,,,Electrical Engineering and Computer Science,US,Princeton Univ.,Andrea LaPaugh,1980,1984,UFMG,1975,,,71,2,,0,,,,,,
Dantas,João Eduardo de Rezende,Eng. Mecânica,UFMG,,1969,,,Informática,PUC-Rio,Firmo Freire,,1975,,,,US,UCLA,,,1980,UFMG,1971,2000,,261,1,,0,,,,,,
Streitwieser,Werner,Ciências Matemáticas,TU München,,1969,,,Ciências da Computação,UFMG,Wilson de Pádua Paula Filho,1874,1976,,,,,,,,,UFMG,1974,,,,,,0,,,,,,
Costa,Eduardo Moreira da,,,,,,,,,,,,,,Eletrônica,UK,University of Southampton,Ken Nichols,1977,1981,UFMG,1976,2010,,41,1,,0,,,,,,
Fernandes,Clylton José Galamba,Eng. Eletrônica,UFPE,1966,1970,,,,,,,,,,Electronics Engineering,UK,Brunei Univ.,Igor Aleksander,1972,1977,,,,,2497,8,,0,,,,,,
Lopes,Manoel Agamemnom,Bacharelado em Matemática,UFPE,1966,1969,,,Matemática,UFPE,Roberto Ramalho,1970,1972,,,Informática,BR,PUC-Rio,Paulo Augusto Silva Veloso,1976,1981,UFPE,1970,1993,UF Paraiba e UFAL,80,3,sem orientacoes no periodo. logo nao aparecem os descendentes,0,,,,,,
Cunha,Paulo Roberto Freire,Eng. Elétrica,UFPE,1970,1974,,,Ciência da Computação,UFPE,Múcio Gomes da Silva Queiroz,1975,1977,,,Ciência da Computação,CA,Univ. of Waterloo,Thomas Maibaum,1977,1981,UFPE,1975,-,,631,8,,0,,,,,,
Nawa,Oscar Akio,Eng. Eletrônica,ITA,1961,1965,,,Eng. Elétrica,Tokyo Inst. of Technology,Jun Ikebe,1966,1968,,,Eng. de Controle,JP,Tokyo Inst. of Technology,Jun Ikebe,1972,1975,ITA,1969,1981,UnB,918,5,,0,,,,,,
Moscato,Lucas Antonio,Eng. Elétrica,USP,1965,1969,,,Engenharia de Sistemas,USP,Antônio Hélio Guerra Vieira,1970,1971,,,Eng. Elétrica,BR,USP,Antônio Hélio Guerra Vieira,1974,1978,USP,1971,,,1112,7,,0,,,,,,
Zuffo,João Antonio,Eng. Eletrônica,USP,1958,1963,,,,,,,,,,Eng. Elétrica,BR,USP,Richard Louis Anderson,1964,1968,USP,1966,,UFSCar,2071,17,,0,,,,,,
Swart,Jacobus Willibrordus,Eng. Elétrica,USP,1971,1975,,,,,,,,,,Eng. Elétrica,BR,USP,Edgar Charriy Rodriguez,1976,1981,Unicamp,1988,,,343,8,,0,,,,,,
Schneider,Sergio de Mello,Eng. Mecânica,USP,1965,1974,,,Ciências da Computação e Matemática Computacional,USP,Célio Cardoso Guimarães,1975,1978,,,Engenharia de Sistemas e Computação,BR,UFRJ,José Lucas Mourão Rangel Neto,1980,1987,UFU,1985,2008?,UFScar,22,1,,4,informe (retorno de profs. afastados na USP), citado em corresp. Warwick Estevan Kerr, prisão congresso UNE Bauru, part. congr. UNE ibiuna (lista e foto),,
Silveira,Marcos Azevedo da ,Matemática Aplicada à Física,PUC-Rio,1970,1974,,,Eng. Elétrica,PUC-Rio,Jorge Muniz Barreto,1974,1976,,,Automation,FR,Universite de Toulouse III (Paul Sabatier),André Titli,1978,1981,PUC-Rio,1975,,,,,,,,,,,,
Pavani,Ana Maria Beltran,Eng. Elétrica,UFRGS,1964,1969,,,Electrical Engineering,CUNY,Frederick E Thau,1975,1976,,,Eng. Elétrica,BR,UFRJ,Jorge Muniz Barreto,1979,1983,PUC-Rio,1976,,,,,,10,reg. bolsas no exterior,,,,,
Tanscheit,Ricardo,Eng. Elétrica,UFRGS,1971,1975,,,Eng. Elétrica,IME,Jorge Muniz Barreto,1976,1978,,,Eng. Elétrica,UK,Queen Mary College,E M Scharf,1981,1988,PUC-Rio,1978,,,,,,0,,,,,,
Ranzini,Edith,Engenharia de Eletricidade,USP,1965,1969,,,Eng. Elétrica,USP,Antônio Hélio Guerra Vieira,1970,1975,,,Eng. Elétrica,BR,USP,Antônio Hélio Guerra Vieira,1976,1981,USP,1971,,,,,,,,,,,,
Walter,Cláudio,Engenharia Elétrica,UFRGS,1970,1974,,,Ciências da Computação,,Juergen Rochol,1974,1976,,,Génie Informatique,FR,Institut National Polytechnique de Grenoble,François Anceau,1978,1981,UFRGS,1975,,,,,,,,,,,,
